DISENO;Gramaje ;PLANTA;GAP LO(mm);GAP LT(mm); TEMPERATURA HORNO 1(C); TEMPERATURA HORNO 2(C); TEMPERATURA HORNO 3(C); TEMPERATURA HORNO 4(C); TEMPERATURA HORNO 5(C); TEMPERATURA HORNO 6(C);VELOCIDAD VENTILADOR HORNO 1(rpm);VELOCIDAD VENTILADOR HORNO 2(rpm);VELOCIDAD VENTILADOR HORNO 3(rpm);VELOCIDAD VENTILADOR HORNO 4 (rpm);VELOCIDAD VENTILADOR HORNO 5 (rpm);VELOCIDAD VENTILADOR HORNO 6 (rpm); VELOCIDAD DE LA LINEA m/min;PESO IMPREGNADO LO1;PESO IMPREGNADO LC;PESO IMPREGNADO LT1;VOLATILES LO2;VOLATILES LC2; VOLATILES LT2;FLUIDEZ;ESTADO B LO3;ESTADO B LC3;ESTADO B LT3
Capuccino;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;163,5;163,9;166,6;6,6;5,6;7;4,6;22,6;45,6;26,64
Chantilli;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;166,9;163,8;168,3;6,1;5,1;5,8;2,6;26,2;52,3;36,7
Chantilli;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;166,9;163,8;168,3;6,1;5,1;5,8;2,6;26,2;52,3;36,7
Chantilli;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;167,5;164,3;167,7;6,3;5,2;6,1;2,5;25,6;47,9;30,45
Chantilli;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;167,5;164,3;167,7;6,3;5,2;6,1;2,5;25,6;47,9;30,45
Chantilli;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;165,8;163,3;166,6;6,4;5,2;6,2;2,5;25,4;46,6;27,78
Chantilli;65;BP1;0,101;0,107;134;134;134;217;221;136;1250;1250;1250;1300;1200;1100;33;165,8;163,3;166,6;6,4;5,2;6,2;2,5;25,4;46,6;27,78
Kallio;68;BP2;0,105;0,11;136;136;136;219;222;137;1300;1300;1300;1350;1200;1100;33;168,7;166,8;173,3;6,6;5,2;6,3;3,3;23,6;53,3;28,9
Kallio;68;BP2;0,105;0,11;136;136;136;219;222;137;1300;1300;1300;1350;1200;1100;33;169,7;168,8;172,6;6,5;5,3;6,6;3,5;26,5;49;30,4
Kallio;68;BP2;0,105;0,11;136;136;136;219;222;137;1300;1300;1300;1350;1200;1100;33;170,5;169;173,5;6,6;5,4;6,3;4;27,6;55,5;26,6
Kallio;68;BP2;0,105;0,11;136;136;136;219;222;137;1300;1300;1300;1350;1200;1100;33;168,9;168,8;174,2;6,5;5,5;6,7;4,4;28,4;53,6;27,7
Kallio;68;BP2;0,104;0,109;136;136;136;219;222;137;1300;1300;1300;1350;1200;1100;33;168,2;171;172,3;6,1;5,4;6,4;4,1;20;43,6;23,6
Kallio;68;BP2;0,104;0,109;136;136;136;219;222;137;1300;1300;1300;1350;1200;1100;33;170,9;170,4;170;6,3;5,1;6;3;23,9;57,4;26
Brixton;70;BP2;0,118;0,123;140;140;140;219;222;139;1300;1300;1300;1350;1250;1100;33;178,9;177,7;178,2;7;5,8;6,8;6,3;19,7;40,2;14,5
Brixton;70;BP2;0,118;0,123;143;143;143;220;223;140;1300;1300;1300;1350;1250;1100;33;176,1;178,3;180,1;6,3;5,2;5,7;3,4;33,6;69,6;36
Brixton;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1250;1100;33;176,7;177,4;179,7;6,3;5,1;6,1;3,1;30,2;66,3;37,3
Brixton;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1250;1100;33;175,6;177,2;177,9;5,7;5;5,7;2,9;40;65;42
Brixton;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1200;1100;33;178,3;176,6;176,1;6,6;5;5,9;3,1;30,2;75,5;45,8
Brixton;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1200;1100;33;175,2;177,7;180;6,5;5,4;6,2;4,9;19,1;53;24,2
Macula;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1200;1100;33;180,4;178,8;177,3;7;5,6;6,1;3,9;22,4;58,5;30,2
Macula;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1200;1100;33;178,5;176,2;176,6;6,6;5,3;5,8;4,5;18,5;43,2;23,9
Macula;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1200;1100;33;179,1;175,7;175,3;6,1;5,1;5,5;3,2;25,5;58,7;32,2
Macula;70;BP2;0,118;0,123;142;142;142;218;222;138;1300;1300;1300;1350;1200;1100;33;179,1;175,7;175,3;6,1;5,1;5,5;3,2;25,5;58,7;32,2
Lana;70;BP2;0,118;0,123;142;142;142;217;222;138;1300;1300;1300;1350;1200;1100;33;180;174,4;178;6,7;5,4;6;4,4;18,6;40,4;25,3
