DISENO,Gramaje,PLANTA,GAP LO(mm),GAP LT(mm),Temp Horno 1,Temp Horno 2,Temp Horno 3,Temp Horno 4,Temp Horno 5,Temp Horno 6,Vel Vent Horno 1,Vel Vent Horno 2,Vel Vent Horno 3,Vel Vent Horno 4,Vel Vent Horno 5,Vel Vent Horno 6,Vel Linea,PESO IMPREGNADO LO1,PESO IMPREGNADO LC,PESO IMPREGNADO LT1,VOLATILES LO2,VOLATILES LC2,VOLATILES LT2,FLUIDEZ,ESTADO B LO3,ESTADO B LC3,ESTADO B LT3
15,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,171.5,166.0,168.5,6.9,5.5,6.1,5.0,20.4,60.9,41.1
15,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,171.1,166.8,168.4,6.5,5.3,5.8,3.9,24.6,43.8,38.9
15,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,168.2,164.0,165.6,6.5,4.9,5.9,3.7,29.0,22.2,37.4
15,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,163.5,164.3,175.3,6.3,5.5,5.8,5.0,20.0,45.6,36.7
4,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,166.9,164.5,167.8,6.7,4.9,6.0,3.4,24.5,60.7,31.0
4,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,164.6,162.5,164.2,5.7,4.7,5.4,2.8,22.7,56.4,30.9
4,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,165.8,163.7,162.4,5.5,5.0,5.7,2.5,28.8,62.7,28.1
4,65,0,0.101,0.107,138,138,138,219,224,140,1250,1250,1250,1300,1200,1100,33,162.7,160.1,162.1,5.8,4.8,5.6,4.7,18.2,49.7,25.4
4,65,0,0.101,0.107,135,135,135,215,220,136,1250,1250,1250,1300,1200,1100,33,164.2,163.3,164.5,6.0,5.1,5.8,4.6,21.3,33.6,21.9
4,65,0,0.101,0.107,135,135,135,215,220,136,1250,1250,1250,1300,1200,1100,33,163.0,160.1,163.8,5.7,5.1,5.4,3.2,24.8,54.3,31.1
4,65,0,0.101,0.107,135,135,135,213,217,136,1250,1250,1250,1300,1200,1100,33,164.0,163.6,168.1,6.0,5.3,6.2,4.8,17.3,38.5,18.2
